datetime,text,username,target
2022-04-09 21:18:25+00:00,mado rosso pelato ma ancora parli stai zitto sei solo un rattuso #Amici21,Iiliesrelief, 
2022-04-09 21:18:02+00:00, gli hai fatto la diarrea in quella testa pelata che si ritrova,papispagna, 
2022-04-09 21:18:00+00:00,ha abbandonato la moglie all'altare e parla di storia d'amore ma fatti uno shampoo pelato bastardo ,arteni_sabin, 
2022-04-09 21:17:06+00:00,"il modo in cui il pelato rosica di non avere il malinconico in squadra, continua pure che così noi lo sentiamo prima asfaltarti e poi cantare #Amici21 ",alexprotector, 
2022-04-09 21:16:08+00:00, Ma perché per un nano secondo vi è anche passato per l’anticamera del cervello questo pensiero?? Maddai…Suvvia…,cristipel, 
2022-04-09 21:13:40+00:00, ogni tanto ci vuole un po' di oggettività che al pelato manca,trouvbles, 
2022-04-09 21:13:35+00:00,Il pelato ha detto “bravo”? Sta bene? ,egocentrissima, 
2022-04-09 21:12:34+00:00,sec voi il pelato lancerà mai un guanto contro sissi?,escoepenso, 
2022-04-09 21:12:27+00:00,comunque se non è un programma per comici perchè il pelato è ancora lì,RACCONTERODITEX, 
2022-04-09 21:11:53+00:00, Deve avere dei bei pezzi di grasso,AddoMik, 
2022-04-09 21:11:10+00:00,Alex si sta trattenendo tantissimo per non mandare a fanculo il pelato #Amici21 #FantaAmici ,karevismysun, 
2022-04-09 21:09:56+00:00,anche thomasroom si è fatto pelato questo è un presagio funestissimo ,willhvrondl, 
2022-04-09 21:09:25+00:00,a me fa ridere il pelato schifos che nomina alex e poi è il primo a rientrare boh accettalo,flamikaelson, 
2022-04-09 21:07:46+00:00,Tweet di apprezzamento per questa regina illegalmente sessualizzata da quel ratto del pelato 💅💅💅 #Amici21 #Tocca ,03TrashAddicted, 
2022-04-09 21:07:41+00:00,alex è di un altro livello ma il pelato non ci arriva #Amici21,essedissara, 
2022-04-09 21:06:24+00:00,la pelata di zerbi sempre la migliore,lonelymvvn, 
2022-04-09 21:06:17+00:00,E secondo il pelato Alex non sarebbe in grado di interpretare (?) #Amici21,vivereinbilico, 
2022-04-09 21:06:05+00:00,comunque il pelato ha così paura del malinconico e lo capisco molto bene ma può solo cagarsi addosso 🧘🏻‍♀️,blqries, 
2022-04-09 21:05:53+00:00,"i diritti di mio figlio al piano, il pelato si deve solo spaventare",RACCONTERODITEX, 
2022-04-09 21:05:50+00:00," ""spettino soprattutto il pelato"" 💆🏻‍♀️",_Iride_24, 
2022-04-09 21:04:27+00:00,pelato ma fatti una sega con queste facce di merda,smarginandomi, 
2022-04-09 21:04:14+00:00,vedendo le ultime dichiarazioni per dire che chi afferma che pelato sia un ottimo comunicatore vuol dire che sa 0 di comunicazione o gode ad essere preso in giro honey your humiliation kink is showing,piedipalmati, 
2022-04-09 21:03:27+00:00,Se ci fosse un ologramma di mia nonna mi verrebbero gli incubi. Quella piccola nana malefica. #Amici21,FedeCarbs, 
2022-04-09 21:02:07+00:00,madonna Alex che fanculizza il pelato QUEST’UOMO #Amici21 ,Sw33tButPsycho_, 
2022-04-09 21:01:31+00:00,il pelato comunque avrà carriera breve se continua a toccarmi Alex #Amici21,sheisale4, 
2022-04-09 21:01:30+00:00, il pelato è il primo,_silverwinter, 
2022-04-09 21:01:18+00:00, Cartoni col nano e pasta al forno,GianniperFedez, 
2022-04-09 21:01:13+00:00,alex pieno saturo del pelato tra un paio di puntate si autoelimina per rottura di coglioni.,_vjnzontwitt, 
2022-04-09 21:00:26+00:00,Alex odio così tanto il pelato e non lo nasconde neanche. #Amici21,jkmkmj96, 
2022-04-09 21:00:05+00:00,Io aspetto ogni sabato solo per le frasi di Alex per smerdare quel pelato del cazzo,nequidnim1s, 
2022-04-09 21:00:04+00:00,Alex odia così tanto il pelato… #amici21 ,Pia9919, 
2022-04-09 20:59:34+00:00,"""Alle volte chiama Sissi boh non si sa cos'ha in testa"" Alex ormai ha l'hobby di asfaltare il pelato, molto grata. #Amici21",DioBenedicaMe, 
2022-04-09 20:59:10+00:00,"""Non lo so cosa pensa"" madonna Alex mi ammazza lui non lo sopporta proprio il pelato",wavesnowaves2, 
2022-04-09 20:59:09+00:00,alex non fa altro che asfaltare quel pelato quanto lo posso amare hdusheisnsisje #amici21,Sucre_98, 
2022-04-09 20:59:00+00:00,Alex ormai è totalmente pieno del pelato,Jacoposvoice, 
2022-04-09 20:58:57+00:00,alex odia il pelato a morte potremmo sposarci tranquillamente,diamqnti, 
2022-04-09 20:58:56+00:00,se avesse una macchina a disposizione investirebbe il pelato senza pensarci,backagainhere, 
2022-04-09 20:58:55+00:00,a me alex fa tanta tenerezza devo dire il pelato è il male,lacasadiunpoeta, 
2022-04-09 20:58:41+00:00,Il pelato deve veramente esplodere deve dormire con gli occhi aperti perché sta rischiando tantissimo,etilIetas, 
2022-04-09 20:58:41+00:00,Alex vorrebbe tanto sradicare la testa del pelato coi denti non lo tollera proprio,GioCellRed, 
2022-04-09 20:58:39+00:00,alex odia così tanto il pelato capite perché io sono pazza di lui,miiannoio, 
2022-04-09 20:58:38+00:00,"Ah Alessandra, adesso te ne ricordi di Nunzio e Serena? Nella manche precedente, non avevi gli occhiali in vista? Tutta una strategia del pelato per sbattere fuori Aisha. VI DOVETE SPAVENTARE #amici21",teamsoleilsorge, 
2022-04-09 20:58:35+00:00,Alessandro odia il pelato che ridere,temporeggiando, 
2022-04-09 20:58:34+00:00,alexandro odia così tanto il pelato,fieldandelions, 
2022-04-09 20:58:34+00:00,l'odio di alex per il pelato so fuckin relatable,smarginandomi, 
2022-04-09 20:58:15+00:00,il pelato si deve curare l’ossessione x alex,surprenantcoeur, 
2022-04-09 20:56:52+00:00,"Ho perso 10 centimetri dappertutto, dal 29 marzo ad oggi. Forse non ero grassa, forse ero solo impregnata.",GretaForse, 
2022-04-09 20:56:10+00:00,nana nono 🥺🥺 ,crurella_, 
